,business_name,location,inspection_score,foursquare_id,foursquare_name
135,COURTYARD BY MARRIOTT-COFFEE SHOP,"(37.785614, -122.396693)",94.8,45524764f964a520f13c1fe3,Courtyard San Francisco Downtown
136,Quickly,"(37.714458, -122.44277)",92.8571428571,4b6d3fccf964a520816d2ce3,Quickly 快可立
137,Viking's Giant Sub,"(37.733449, -122.434241)",88.5,4b6cc9aff964a52070542ce3,Viking's Giant Submarines
138,Cafe Bakery,"(37.75409, -122.478248)",71.2727272727,4ab81a99f964a520357c20e3,Cafe Bakery & Restaurant
139,Donut Time,"(37.753633, -122.48954)",88.9166666667,4ba6619df964a5204b4c39e3,Donut Time
140,SHERATON PALACE - EMP.  CAFETERIA,"(37.788286, -122.401543)",89.6666666667,,
141,Daily Health,"(37.758941, -122.48591)",92.0,4b6486eef964a520f2ba2ae3,Daily Health Organic Veggie Cafe
142,Boudin Sourdough Bakery,"(37.728497, -122.475639)",96.1666666667,4aecaa99f964a52019ca21e3,Boudin Bakery Café Stonestown
143,MELISA'S CHINESE CUISINE,"(37.777292, -122.463496)",86.15,463920e6f964a52019461fe3,Melisa's Chinese Cuisine
144,Nizario's Pizza,"(37.781278, -122.460661)",89.1578947368,4ac37e19f964a5207e9b20e3,Nizario's Pizza
145,Marnee Thai Restaurant,"(37.763343, -122.481809)",88.3333333333,3fd66200f964a52021ed1ee3,Marnee Thai
146,EL SALVADOR RESTAURANT,"(37.760579, -122.41932)",94.8,4ada4140f964a520932021e3,El Salvador Restaurant
147,Hamburger Haven,"(37.782799, -122.467852)",86.6923076923,4a2ad2dff964a52056961fe3,Hamburger Haven
148,THAI TIME RESTAURANT,"(37.782534, -122.466615)",85.6666666667,43d69045f964a5204e2e1fe3,Thai Time
149,LITTLE HENRY'S,"(37.775728, -122.497522)",98.0,4bde0311e75c0f47488cc603,Little Henry's
150,Gordo Taqueria #1,"(37.782107, -122.483631)",85.1818181818,4a062117f964a520bb721fe3,Gordo Taqueria
151,Loi's Vietnamese Restaurant,"(37.763428, -122.481736)",85.4,4ade5a6cf964a520447521e3,Loi's Vietnamese Restaurant
152,KATIA'S,"(37.77721, -122.462874)",86.875,3fd66200f964a520f8ec1ee3,Katia's: A Russian Tea Room
153,CAJUN PACIFIC,"(37.762304, -122.506543)",94.2857142857,57c61e4ccd102fdc7df7b747,Cajun Pacific
154,DESTINO RESTAURANT,"(37.771437, -122.423892)",99.0,49ec140ff964a5205d671fe3,Destino Latin Bistro/Pisco Bar
155,SAN FRANCISCO SOUP COMPANY,"(37.794347, -122.394932)",91.0,4a60e1fef964a52064c11fe3,San Francisco Soup Company
156,MUFFIN'S MUFFIN,"(37.787755, -122.399372)",94.0,4f809655e4b0c2f765984f9c,muffin stand
157,TACO LOS ALTOS,"(37.738979, -122.414971)",93.2222222222,4a57fd7ef964a52031b71fe3,Tacos Los Altos
158,NEW TSING TAO RESTAURANT,"(37.740654, -122.465389)",92.4,4bccd3e4937ca593f6d7ab92,New Tsing Tao
159,BURRITO EXPRESS,"(37.742673, -122.48334)",84.35,4ab96dc7f964a520587f20e3,El Burrito Express
160,WON TON HOUSE,"(37.754106, -122.477841)",83.1428571429,4b189710f964a5206fd423e3,Won-Ton House
161,YOU SEE SUSHI,"(37.762378, -122.462692)",86.8571428571,4a7345b9f964a520fcdb1fe3,You See Sushi
162,TSING TAO RESTAURANT,"(37.781624, -122.492609)",86.0,4adce9a1f964a520756221e3,Tsing Tao Resturant
163,POMELO,"(37.762378, -122.462692)",78.25,4a42e288f964a52058a61fe3,Pomelo
164,J & A RESTAURANT,"(37.709857, -122.449709)",94.4,4a088d77f964a520e6731fe3,Leo J Ryan Memorial Park
165,A-1 BAKERY,"(37.724824, -122.460726)",88.5714285714,4bbf523e98f49521956bd263,A-1 Bakery
166,CALIFORNIA TENNIS CLUB,"(37.786463, -122.437657)",93.0,4ab2e151f964a520ce6c20e3,California Tennis Club
167,EDDIES CAFE,"(37.776898, -122.438098)",100.0,446215e4f964a52017331fe3,Eddie's Cafe
168,EL BURRITO EXPRESS #2,"(37.786407, -122.440057)",87.4,44678fa8f964a52046331fe3,El Burrito Express
169,SUBWAY SANDWICHES & SALADS,"(37.78332, -122.432647)",96.6666666667,4585a376f964a520ab3f1fe3,Subway Sandwiches
170,Swan Oyster Depot,"(37.790734, -122.420783)",92.5454545455,44d1ef97f964a52031361fe3,Swan Oyster Depot
171,ANDERSEN BAKERY,"(37.785457, -122.430317)",97.0,4adbc6e7f964a520952a21e3,Andersen Bakery
172,TAN-TAN,"(37.785274, -122.431918)",99.0,4aac0cf5f964a520e85b20e3,Tan Tan Coffee
173,Golden Coffee,"(37.788322, -122.415218)",89.5,4a466e93f964a520d8a81fe3,Golden Coffee Shop
174,BRAZEN HEAD RESTAURANT,"(37.799218, -122.432517)",85.6666666667,49cf2129f964a520a15a1fe3,The Brazen Head
175,VIKINGS GIANT SUBMARINE SANDWICHES,"(37.801334, -122.424905)",86.5217391304,4b6cc9aff964a52070542ce3,Viking's Giant Submarines
176,Kitchen Kura,"(37.763638, -122.474196)",83.0,4bcca8390687ef3bc0a6dfcc,Social Kitchen & Brewery
177,MARINA SUBMARINE,"(37.796893, -122.436847)",89.0666666667,4a849f1df964a52023fd1fe3,Marina Submarine
178,BARBARY COAST PASTRY & COFFEE,"(37.784965, -122.408614)",94.8,52f68391498e8f7e37301c92,Barbary Coast
179,THEM KY RESTAURANT,"(37.784193, -122.417967)",61.5,4ae0b9f0f964a520f88121e3,Thêm Ky
180,MONG THU COFFEE SHOP,"(37.783041, -122.415719)",82.0,,
181,BEN WAH RESTAURANT,"(37.788138, -122.440174)",79.0,4cd370534944721ec4dceca6,Ben Wah Restaurant
182,MOZZARELLA DI BUFALA PIZZERIA II,"(37.740052, -122.466544)",83.3333333333,4a4d27d0f964a5209aad1fe3,Mozzarella di Bufala
183,Cafe Bellini,"(37.784317, -122.407563)",91.25,4ac791c1f964a52014b820e3,Café Bellini
184,BAKERY/ICE CREAM/STOREROOM,"(37.788286, -122.401543)",97.0,45ad2c68f964a52070411fe3,Delessio Market & Bakery
185,APERTO RESTAURANT,"(37.762568, -122.397192)",88.8,3fd66200f964a520adec1ee3,Mars Bar & Restaurant
186,MOSHI MOSHI,"(37.763187, -122.388895)",90.25,40870b00f964a520b6f21ee3,Moshi Moshi
187,MARIPOSA HUNTERS POINT YACHT CLUB,"(37.77325, -122.387222)",93.7142857143,4a31c246f964a520219a1fe3,Mariposa Hunters Point Yacht Club
188,BAY VIEW BOAT CLUB,"(37.772667, -122.387032)",90.8888888889,4a0af16df964a520b2741fe3,Bay View Boat Club
189,MONTE CRISTO SOCIAL CLUB,"(37.764627, -122.396764)",94.5,4bf77e265ec320a1273087d3,Monte Cristo Club
190,Piperade,"(37.800674, -122.401484)",87.2,4411a710f964a520cc301fe3,Piperade
191,Boudin Bakery,"(37.791924, -122.398588)",91.4545454545,4ba7f1b9f964a520b8c039e3,Boudin Bakery Café Baker's Hall
192,Ben & Jerry's,"(37.808494, -122.412)",96.2857142857,4ba977d1f964a52003293ae3,Ben & Jerry's
193,Hunan Restaurant,"(37.798987, -122.402307)",76.8333333333,4b14751bf964a52069a323e3,Henry's Hunan Restaurant
194,Sushi Rapture,"(37.793997, -122.416267)",87.5,45576ce1f964a520373d1fe3,Sushi Rapture
195,Courtyard by Marriott at Fisherman's Wharf,"(37.806964, -122.41862)",94.8,4b717e66f964a52085492de3,Courtyard San Francisco Fisherman's Wharf
196,TRIPTYCH,"(37.775797, -122.409002)",78.9411764706,58d804eb9435a979b8aea0fb,Triptych Strength
197,EDEN PLAZA CAFE,"(37.783954, -122.395699)",73.4444444444,4a579ff4f964a5207cb61fe3,Eden Plaza Cafe
198,B & J QUARTER POUNDER BURGERS,"(37.722374, -122.395841)",88.0,5105ed2fe4b02d11de1bae8d,B. Patisserie
199,LA SANTANECA,"(37.7362294, -122.4241753)",82.5,4b6a4725f964a52072d02be3,La Santaneca
200,BABY'S EATERY AND PALABOK,"(37.724579, -122.434879)",80.2222222222,4bbfbe9dabf495212a3abe93,Baby's Eatery & Palabok
201,ANGELINA'S DELI-CAFE & CATERING,"(37.784038, -122.481982)",89.1428571429,4b2537ddf964a520366e24e3,Angelina's Cafe
202,TAQUERIA EL FAROLITO NO. 2,"(37.721251, -122.437385)",86.3333333333,44ff5a91f964a520a5381fe3,Taqueria El Farolito
203,LOS PLANES DE RENDEROS,"(37.723078, -122.435966)",84.2857142857,4bf04c36c8d920a103b39430,Los Planes De Renderos
204,Kam Po Kitchen,"(37.797223, -122.410513)",80.8235294118,4ad8eb0bf964a520f71521e3,Kam Po Kitchen
205,Molinari Delicatessen,"(37.798556, -122.407707)",83.0,4a01fbbdf964a5201c711fe3,Molinari Delicatessen
206,Estia Restaurant,"(37.798328, -122.407067)",77.7894736842,4aab1d37f964a520fc5820e3,Estia Greek Restaurant
207,Cafe Jacqueline,"(37.800428, -122.407517)",92.8,49cf1cdcf964a520a05a1fe3,Cafe Jacqueline
208,Golden Boy Pizza,"(37.799648, -122.408033)",85.75,42814b00f964a520ef211fe3,Golden Boy Pizza
209,New Hollywood Bakery & Restaurant,"(37.7970487, -122.4065651)",68.625,4da8d78a93a04642f0586f37,New Hollywood Bakery & Restaurant
210,Firenze By Night,"(37.798914, -122.408885)",82.0,4ab1c8baf964a520906a20e3,Firenze by Night Ristorante
211,DELFINA RESTAURANT,"(37.761514, -122.424318)",94.1666666667,4af303e1f964a520cee921e3,Delfina
212,Pancho's Salsa Bar & Grill,"(37.792093, -122.421024)",89.4285714286,49fa3c25f964a520dc6d1fe3,Pancho's Salsa Bar & Grill
213,"PATPONG THAI CUISINE, INC.","(37.781973, -122.48522)",89.0,,
214,Delicious Dim Sum,"(37.795974, -122.407574)",71.1363636364,4aa1b2c8f964a5207a4120e3,Delicious Dim Sum
215,House of Nanking,"(37.796463, -122.405224)",82.3333333333,3fd66200f964a520d2ed1ee3,House of Nanking
216,Le Petit Cafe,"(37.795227, -122.39914)",96.2857142857,4c4f3e5992ce2d7fdb4c7d2f,Le Petit Cafe
217,Lucky Creation Vegetarian Restaurant LLC,"(37.795078, -122.407433)",81.6,4a91b13cf964a520611b20e3,Lucky Creation Restaurant
